Date,Open,High,Low,Close,Volume
1/3/2000,148,153.2,146.1,152.45,2003185
1/4/2000,150.1,153,143.05,150.8,1555136
1/5/2000,144.6,162.9,144.6,156.55,3840284
1/6/2000,158.95,169.1,158.95,168.25,2560449
1/7/2000,173.4,179,166.3,171.95,3641691
1/10/2000,173.95,184.9,173.95,182.25,4642054
1/11/2000,179,180,167.7,167.7,1705968
1/12/2000,165,172,159.15,165.3,2337738
1/13/2000,167.9,170,156.05,159.2,1584803
1/14/2000,161,161.9,156,158.7,1541731
1/17/2000,164.95,171.4,163.1,166.8,3326270
1/18/2000,166.9,176,163.25,172.8,3516827
1/19/2000,177,178,171,172.85,2617065
1/20/2000,171,179,160.7,163.1,8257650
1/21/2000,162.7,164.75,159.1,162.4,2794941
1/24/2000,163.9,163.9,150,151.15,2446509
1/25/2000,150,154,147,148.45,3030257
1/27/2000,151.4,153.5,147.5,148.3,1466342
1/28/2000,148,151,143.25,144.5,1996632
1/31/2000,143.1,144,138.6,139.35,1269284
2/1/2000,139.1,142.7,138.6,140.5,1748130
2/2/2000,143.7,145.25,140,141.05,1376545
2/3/2000,141.9,146.2,139.55,140,3275087
2/4/2000,141.9,142,139,140.1,1654411
2/7/2000,140,140.85,138.25,139,929743
2/8/2000,138.5,143.5,138.1,141.1,2677365
2/9/2000,145.4,150.25,143.1,144.4,2847687
2/10/2000,145.5,145.5,141.1,141.85,1093875
2/11/2000,143.8,143.95,139.75,140.2,1149793
2/14/2000,139,140.5,132.05,134.65,1013330
2/15/2000,133.5,137,130.25,131.75,1818713
2/16/2000,135.8,138,134.5,135.35,804018
2/17/2000,136,137.65,134.1,135.85,765613
2/18/2000,135.95,136.5,132.5,133.2,648089
2/21/2000,134,138.75,132,133.15,1165796
2/22/2000,134.35,135.25,130.4,131.25,1013742
2/23/2000,135.5,136,128,128.75,728400
2/24/2000,131.3,133.2,125.25,128.9,785072
2/25/2000,129.1,133,127.5,128.5,681916
2/28/2000,129.2,131.75,127.1,130.75,546385
2/29/2000,133,135.85,120.3,120.55,1567019
3/1/2000,123,126.85,110.95,115.75,3469035
3/2/2000,122,125.05,113.1,115.3,4536084
3/3/2000,112.5,112.5,106.1,106.45,1267692
3/6/2000,108.9,112.5,101.25,102.85,1462483
3/7/2000,103.4,104,96.5,97.15,1992209
3/8/2000,99.4,99.4,90.5,91.15,1359620
3/9/2000,91.75,97.5,91,96.05,1396024
3/10/2000,96,97,90.6,91.9,834661
3/13/2000,93.3,94.9,89.1,90.35,1024407
3/14/2000,91.9,97.6,89.25,97.6,1340192
3/15/2000,104.95,105.45,101,105.45,1457390
3/16/2000,108,111.9,100.55,109.05,3260289
3/21/2000,109.75,111.7,103.1,108.5,2397599
3/22/2000,108.9,113.4,106,109.55,1447656
3/23/2000,108.35,110.8,103.3,104.25,870011
3/24/2000,105,106.6,104.1,105.85,686553
3/27/2000,106.9,106.9,103,104,468429
3/28/2000,104.5,107,102,106.35,1220783
3/29/2000,107.1,109.45,103.85,104.85,1141017
3/30/2000,104.2,111.5,101.1,108.55,2543879
3/31/2000,107.3,116,105.25,115.15,3660943
4/3/2000,116.75,124.4,116.75,122.65,3438532
4/4/2000,121.5,121.5,112.85,114.15,3324851
4/5/2000,114,119,109.2,118.25,3400972
4/6/2000,118.9,122.9,112,115.2,1752811
4/7/2000,115.8,123.9,115.3,123.25,4457298
4/10/2000,124,125.8,119.05,120.6,3288466
4/11/2000,117.5,119.45,115.25,117.15,1337181
4/12/2000,118,119.65,115.6,116.7,812855
4/13/2000,115.1,115.1,110.3,112.2,1706328
4/17/2000,110,121,104.1,114.4,5607896
4/18/2000,114.95,119,114,116,1592616
4/19/2000,119,120.5,113.8,115.95,2368988
4/20/2000,116,117,112.25,116.1,1231875
4/24/2000,116.5,117.5,110.6,111.95,1362670
4/25/2000,110.1,111,106.5,109.2,2110199
4/26/2000,112.4,116.15,110.3,115.5,2157205
4/27/2000,115,115,110,111.35,1035056
4/28/2000,112.5,114.5,107.5,108.1,894858
5/2/2000,108.1,109,101.25,102,1331445
5/3/2000,103,104,98,103.05,701492
5/4/2000,103.95,108,102.5,105.4,640752
5/5/2000,105.05,108.95,103.85,107.15,1085074
